Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre
0.53;0.83;1.44;0.88;2.27;2.8;6.96;7.93;2.68;2.3;0.95;0.69
0.66;0.96;1.15;0.8;3.4;3.47;5.84;7.72;3.4;1.9;0.8;0.82
1.55;1.74;1.05;1.19;5.81;5.6;4.69;7.79;5.72;1.45;1.04;1.55
2.61;2.47;1.78;1.78;7.97;7.56;6.37;8.24;7.7;1.79;1.69;2.28
3.41;8.5;7.6;8.19;0.68;0.72;2.04;1.47;0.79;8.8;7.54;7.07
3.2;10.1;8.47;9.3;0.8;0.75;1.02;0.97;0.89;9.9;8.3;8.12
3;11.1;9.22;10.1;0.95;0.84;0.79;1.12;1.15;10;9.09;8.86
2.86;8.12;6.94;7.5;1.03;0.95;1.01;0.92;0.96;8.1;6.86;6.48
2.94;6.4;5.95;6.3;0.81;0.79;1.7;1.34;0.76;6.9;5.8;5.36
2.28;1.98;1.47;1.4;5.76;5.52;4.79;6.44;5.67;1.33;5.88;2.05
0.75;1;0.84;0.75;3.36;3.38;4.28;6.59;3.3;1.28;0.71;5.31
0.41;0.73;1.34;0.67;2.08;2.2;7.11;7.3;2;1.9;0.78;0.52
